Depth,hzlm,UCS_pred,UCS_traditional,Es_pred,Es_traditional,us_pred,us_traditional,Fai_pred,Fai_traditional,C_pred,C_traditional
2908.625,0,50.15230672,53.71,6.716376463,6.79,0.166333794,0.16,25.75069092,25.81,12.60967837,13.6
2908.75,0,50.24192269,54.11,6.710123586,6.8,0.166333794,0.16,25.77336972,25.7,12.60211008,13.69
2908.875,0,49.05128378,54.21,6.678950256,6.82,0.167777783,0.15,25.9528495,25.82,12.28979633,13.72
2909,0,49.03793922,53.91,6.60403263,6.86,0.167974525,0.15,26.08543497,26.1,12.24523823,13.66
2909.125,0,48.60346907,53.94,6.612655192,6.87,0.168668869,0.15,26.16180471,26.17,12.22383661,13.67
2909.25,0,48.13228045,53.78,6.601434683,6.87,0.168605588,0.15,26.20331034,26.19,11.99736146,13.63
2909.375,0,47.84250372,53.14,6.602231159,6.84,0.169022182,0.15,26.1850467,26.26,11.93184194,13.48
2909.5,0,46.98237625,51.87,6.610178546,6.79,0.169018276,0.15,26.1805866,26.41,11.80976713,13.18
2909.625,0,47.20000438,50.04,6.602567097,6.71,0.169023184,0.16,26.39087445,26.63,12.01500806,12.75
2909.75,0,48.30226996,48.63,6.5273165,6.65,0.16732017,0.16,26.18056191,26.79,12.2634765,12.41
2909.875,0,49.47878229,48.94,6.446276933,6.65,0.168055891,0.16,26.2206742,26.67,12.39238786,12.48
2910,0,49.35671774,50.26,6.63669229,6.67,0.167830415,0.16,26.06437681,26.34,12.3023538,12.79
2910.125,0,49.54955572,50.67,6.659251837,6.67,0.167590345,0.16,26.03699274,26.16,12.48607816,12.89
2910.25,0,49.26558968,50.02,6.581529327,6.62,0.167899145,0.16,26.00555644,26.13,12.40163008,12.73
2910.375,0,48.7477919,49.41,6.581859176,6.58,0.167973547,0.16,25.93716553,26.09,12.33996791,12.58
2910.5,0,48.6698533,49.52,6.571944754,6.58,0.167695602,0.16,25.93937458,26.03,12.29467321,12.61
2910.625,0,49.28934965,50.17,6.570017227,6.62,0.167667084,0.16,25.86873867,26.04,12.42003886,12.76
2910.75,0,49.50125288,50.72,6.658660632,6.67,0.167323459,0.16,25.95477508,26.14,12.48536405,12.9
2910.875,0,50.63489498,51.31,6.695456586,6.71,0.166941369,0.16,25.70263758,26.17,12.75725587,13.04
2911,0,50.69852318,52,6.696920557,6.73,0.166760396,0.16,25.66009753,26.07,12.75309604,13.2
2911.125,0,50.68125745,52.4,6.714147569,6.73,0.167228131,0.16,25.66012252,25.94,12.7387334,13.29
2911.25,0,50.6930989,52.37,6.696221687,6.72,0.167310678,0.16,25.65889975,25.9,12.74963946,13.28
2911.375,0,49.56877679,51.9,6.659385108,6.7,0.167958956,0.16,25.93037911,25.93,12.49781758,13.17
2911.5,0,49.36312094,51.53,6.644810363,6.68,0.168353561,0.16,25.95177064,25.96,12.39652092,13.09
2911.625,0,49.40286885,51.67,6.649776299,6.69,0.168182358,0.16,25.9819261,25.97,12.40437614,13.12
2911.75,0,49.66028272,52.22,6.67245919,6.73,0.168007583,0.16,25.84628236,25.98,12.41158153,13.25
2911.875,0,50.39637222,52.45,6.697932922,6.77,0.167443813,0.16,25.78217998,26.1,12.59049863,13.31
2912,0,50.34985059,52.22,6.677917182,6.78,0.167699939,0.16,25.88329255,26.25,12.58386798,13.26
2912.125,0,50.4542279,52.05,6.698253053,6.77,0.16742144,0.16,25.85900673,26.26,12.60797101,13.22
2912.25,0,50.58013292,52.25,6.700322234,6.75,0.16744899,0.16,25.71043427,26.1,12.66539381,13.26
2912.375,0,50.61970932,52.19,6.691451361,6.73,0.16740228,0.16,25.66665636,25.99,12.65858635,13.24
2912.5,0,50.64379682,51.4,6.685180161,6.69,0.16746099,0.16,25.69954198,26.03,12.72634209,13.06
2912.625,0,50.38756903,50.33,6.616581298,6.64,0.167620207,0.16,25.64729231,26.11,12.66256644,12.8
2912.75,0,49.08306302,49.72,6.572334702,6.61,0.167946443,0.16,25.97658358,26.15,12.34666299,12.66
2912.875,0,49.022719,49.75,6.563128217,6.62,0.167605162,0.16,25.98672197,26.22,12.29571388,12.67
2913,0,49.3672471,50.39,6.627755525,6.67,0.167320853,0.16,26.03723746,26.28,12.39799423,12.82
2913.125,0,49.48467877,51.26,6.660881528,6.73,0.167534365,0.16,26.16241202,26.3,12.48744635,13.03
2913.25,0,50.39339043,51.89,6.678158498,6.78,0.166967887,0.16,25.99695758,26.36,12.65663628,13.18
2913.375,0,49.99857348,52.45,6.68815348,6.81,0.167025736,0.16,26.08492063,26.34,12.47212993,13.32
2913.5,0,49.9595113,52.75,6.689719452,6.82,0.16783977,0.15,26.1541517,26.31,12.4570167,13.39
2913.625,0,49.63010227,52.74,6.677932691,6.82,0.167810747,0.15,26.39201208,26.31,12.42627094,13.38
2913.75,0,48.88117208,52.73,6.655260975,6.82,0.168055758,0.15,26.5998096,26.31,12.25902668,13.38
2913.875,0,48.74594607,52.84,6.659986692,6.83,0.167272152,0.15,26.66530323,26.3,12.29355967,13.41
2914,0,48.6903223,53.02,6.668460313,6.83,0.167539411,0.15,26.61658815,26.27,12.22102366,13.45
2914.125,0,48.67567654,53.07,6.672979892,6.84,0.16759525,0.15,26.60087225,26.27,12.23090855,13.46
2914.25,0,48.68703448,52.84,6.649730452,6.83,0.167660231,0.15,26.66287097,26.3,12.2345049,13.41
2914.375,0,48.78414002,52.32,6.646623718,6.8,0.167684268,0.16,26.43472297,26.36,12.22510433,13.29
2914.5,0,49.51950114,51.59,6.640838098,6.77,0.166913672,0.16,26.25548188,26.44,12.39935183,13.11
2914.625,0,50.38991667,50.92,6.667397468,6.75,0.166704249,0.16,26.08743041,26.52,12.56234801,12.96
2914.75,0,50.23334066,50.85,6.662019376,6.72,0.166777384,0.16,26.00597189,26.43,12.58825593,12.94
2914.875,0,50.2229562,50.78,6.683754111,6.71,0.166966881,0.16,25.97890586,26.39,12.57894434,12.92
2915,0,50.17407065,50.72,6.678407683,6.71,0.167015786,0.16,25.99781393,26.41,12.55470539,12.91
2915.125,0,49.52482393,50.81,6.652321547,6.72,0.167295898,0.16,26.14887904,26.4,12.36917863,12.93
2915.25,0,49.55844928,51.02,6.666666123,6.72,0.167243682,0.16,26.14966538,26.36,12.36867312,12.98
2915.375,0,49.26750919,51.19,6.629713519,6.74,0.167236667,0.16,26.2658267,26.37,12.34830488,13.02
2915.5,0,49.10719848,51.12,6.627231243,6.75,0.167228597,0.16,26.28860922,26.46,12.38282954,13
2915.625,0,48.92564417,51.11,6.629623334,6.75,0.167119325,0.16,26.35081362,26.5,12.34947211,13
2915.75,0,48.86356451,51.23,6.630643591,6.76,0.167072209,0.16,26.35081362,26.48,12.34755194,13.03
2915.875,0,49.02443466,51.61,6.629054493,6.77,0.167026479,0.16,26.35081362,26.42,12.36173879,13.12
2916,0,48.71381611,52.23,6.64050997,6.79,0.167050521,0.16,26.1662822,26.29,12.24629811,13.26
2916.125,0,48.74744146,52.41,6.640554065,6.8,0.16709595,0.16,26.19690207,26.28,12.24629811,13.31
2916.25,0,48.88355651,52.42,6.640774416,6.8,0.166990643,0.16,26.19093979,26.3,12.24731314,13.31
2916.375,0,49.70030102,52.61,6.677972724,6.81,0.166787385,0.16,26.1295424,26.3,12.37349402,13.35
2916.5,0,49.55212376,52.92,6.677723731,6.83,0.167266377,0.15,26.16388209,26.29,12.34786386,13.43
2916.625,0,49.58653315,53.17,6.682694634,6.84,0.167143238,0.15,26.20742065,26.26,12.35310304,13.49
2916.75,0,49.61283139,53.02,6.677348199,6.83,0.167140143,0.15,26.39481737,26.26,12.44483604,13.45
2916.875,0,49.92929079,52.67,6.670157835,6.8,0.167055984,0.16,26.33471259,26.21,12.57079072,13.37
2917,0,49.99291965,52.18,6.684769841,6.76,0.167014943,0.16,26.38609676,26.18,12.54934207,13.25
