Depth,hzlm,UCS_pred,UCS_traditional,Es_pred,Es_traditional,Fai_pred,Fai_traditional,us_pred,us_traditional,C_pred,C_traditional
2831.125,3.034,16.82230852,44.87,4.14729079,6.02,27.15177554,22.53,0.257050996,0.19,4.204546953,11.39
2831.25,2.611,17.35148391,45.3,4.250818036,6.05,26.23024141,22.69,0.256518296,0.19,4.27802435,11.5
2831.375,2.343,18.29526288,46.09,4.531245001,6.07,25.84671605,22.49,0.255659854,0.19,4.545163153,11.68
2831.5,2.177,18.89540986,46.54,4.81190569,6.08,25.68706108,22.45,0.252561851,0.19,4.697415543,11.79
2831.625,2.097,18.89002673,46.63,4.8139191,6.1,25.74540218,22.66,0.251675642,0.19,4.780691242,11.82
2831.75,2.13,19.34049971,46.64,4.983828482,6.12,25.79214445,22.91,0.249631288,0.18,4.970512332,11.83
2831.875,2.49,20.2495865,46.03,4.976612754,6.1,27.47734786,23.1,0.241177378,0.19,5.340239214,11.69
2832,2.735,21.0210261,44.94,4.98813157,6.07,28.33438833,23.21,0.231825928,0.19,5.600950057,11.43
2832.125,2.157,24.65917514,44.33,5.132070692,6.03,27.84290139,23,0.224759153,0.19,6.571063129,11.28
2832.25,1.357,26.59777251,44.67,5.326797011,6.01,26.27429874,22.41,0.214391426,0.19,6.694224068,11.34
2832.375,0.927,31.34457661,45.04,5.46952217,6,24.41052666,21.96,0.212701235,0.19,7.806006151,11.42
2832.5,0.757,31.03498954,44.75,5.562300831,6,24.20850978,22.14,0.211902468,0.19,7.906883765,11.35
2832.625,0.731,29.54250999,44.23,5.586595145,6,24.35449557,22.51,0.211632215,0.19,7.568721002,11.24
2832.75,0.75,29.0419586,44.47,5.567011564,5.99,24.7481746,22.09,0.211581334,0.19,7.539302341,11.28
2832.875,0.759,31.28343308,45.22,5.593109136,5.95,25.36689258,20.69,0.211476835,0.19,8.01136507,11.41
2833,0.748,33.1704138,43.86,5.651478001,5.91,25.06384612,20.85,0.202711018,0.19,8.416270055,11.1
